Egg Number;Egg Position;Volume (cm3) - Algorithm 1;Volume (cm3) - Algorithm 2;
1;3;49,50;56,93;
2;5;47,17;56,13;
3;6;39,71;57,97;
4;10;53,27;56,48;
5;11;48,96;53,39;
6;12;47,14;65,49;
7;13;46,45;61,48;
8;15;58,57;62,75;
9;16;55,74;59,83;
10;17;55,52;63,4;
11;18;43,86;57,59;
12;19;44,68;60,46;
13;20;53,19;61,49;
14;21;53,58;57,65;
15;22;55,75;59,53;
16;23;46,82;54,97;
17;24;40,01;57,17;
18;25;37,04;61,22;
19;26;49,60;64,29;
20;27;46,23;54,08;
21;28;50,85;59,72;
22;29;47,33;62,98;
23;30;38,62;70,89;
24;1;37,93;60,28;
25;2;44,20;54,99;
26;3;51,24;58,92;
27;4;52,03;59,31;
28;5;47,72;56,78;
29;6;39,11;57,08;
30;7;52,81;71,25;
31;8;53,24;60,36;
32;9;53,23;55,89;
33;10;62,96;66,76;
34;11;61,51;67,07;
35;12;42,46;58,99;
36;13;47,32;62,62;
37;14;54,07;61,01;
38;15;60,55;64,87;
39;16;57,08;61,26;
40;17;52,93;60,44;
41;18;43,78;57,49;
42;19;46,73;63,24;
43;20;46,35;53,58;
44;21;50,46;54,29;
45;22;61,97;66,17;
46;23;54,83;64,38;
47;24;45,59;65,15;
48;25;40,93;67,64;
49;26;51,29;66,48;
50;27;49,57;57,98;
51;28;45,40;53,32;
52;29;41,11;54,7;
53;30;35,74;65,62;
54;2;51,65;64,26;
55;3;63,00;72,46;
56;4;54,65;62,3;
57;5;56,47;67,2;
58;6;47,55;69,4;
59;7;51,52;69,52;
60;8;56,30;63,83;
61;9;68,07;71,47;
62;10;62,35;66,12;
63;11;59,25;64,6;
64;12;48,78;67,78;
65;13;49,39;65,37;
66;14;69,28;78,18;
67;15;63,48;68,02;
68;16;55,80;59,89;
69;17;55,43;63,3;
70;18;49,66;65,2;
71;19;50,50;68,34;
72;20;56,96;65,85;
73;21;56,63;60,94;
74;22;61,78;65,97;
75;23;52,46;61,59;
76;24;46,20;66,02;
77;25;39,99;66,1;
78;26;62,69;81,26;
79;27;57,09;66,78;
80;28;54,35;63,83;
81;29;49,62;66,03;
82;30;39,40;72,32;
83;1;40,28;64,01;
84;2;54,91;68,31;
85;3;67,85;78,02;
86;4;66,00;75,24;
87;5;58,88;70,06;
88;6;52,14;76,11;
89;7;53,33;71,95;
90;8;56,73;64,32;
91;9;66,07;69,36;
92;10;74,30;78,79;
93;11;67,25;73,33;
94;12;53,83;74,79;
95;13;51,59;68,27;
96;14;64,72;73,03;
